Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Zhang, Dong; Easterling, Katherine A; Pitra, Nicholi J; Coles, Mark C; Buckler, Edward S; Bass, Hank W; Matthews, Paul D; ",Non‐Mendelian single‐nucleotide polymorphism inheritance and atypical meiotic configurations are prevalent in hop,The plant genome,10,3,plantgenome2017.04.0032,2017,Crop Science Society of America
"Jones, Mark W; Penning, Bryan W; Jamann, Tiffany M; Glaubitz, Jeff C; Romay, Cinta; Buckler, Edward S; Redinbaugh, Margaret G; ",Diverse chromosomal locations of quantitative trait loci for tolerance to maize chlorotic mottle virus in five maize populations,Phytopathology,108,6,748-758,2018,
"Glover, JD; Reganold, JP; Bell, LW; Borevitz, Justin; Brummer, EC; Buckler, Edward S; Cox, CM; Cox, TS; Crews, TE; Culman, SW; ",Response to: Perennial Questions of Hydrology and Climate,,,,,2015,
"Bennetzen, Jeff; Buckler, Edward; Chandler, Vicki; Doebley, John; Dorweiler, Jane; Gaut, Brandon; Freeling, Michael; Hake, Sarah; Kellogg, Elizabeth; Poethig, R Scott; ",Society for American Archaeology,Latin American Antiquity,12,1,84-86,2001,
"Wallace, Jason G; Kremling, Karl A; Buckler, Edward S; ",Quantitative genetic analysis of the maize leaf microbiome,BioRxiv,,,268532,2018,Cold Spring Harbor Laboratory
"Gault, Christine M; Kremling, Karl A; Buckler, Edward S; ",Tripsacum de novo transcriptome assemblies reveal parallel gene evolution with maize after ancient polyploidy,The plant genome,11,3,180012,2018,Crop Science Society of America
"Kremling, Karl AG; Chen, Shu-Yun; Su, Mei-Hsiu; Lepak, Nicholas K; Romay, M Cinta; Swarts, Kelly L; Lu, Fei; Lorant, Anne; Bradbury, Peter J; Buckler, Edward S; ",Dysregulation of expression correlates with rare-allele burden and fitness loss in maize,Nature,555,7697,520-523,2018,Nature Publishing Group UK London
"Li, Yong-xiang; Chen, Lin; Li, Chunhui; Bradbury, Peter J; Shi, Yun-su; Song, Yanchun; Zhang, Dengfeng; Zhang, Zhiwu; Buckler, Edward S; Li, Yu; ",Increased experimental conditions and marker densities identified more genetic loci associated with southern and northern leaf blight resistance in maize,Scientific Reports,8,1,6848,2018,Nature Publishing Group UK London
"Wang, Jiabo; Zhou, Zhengkui; Zhang, Zhe; Li, Hui; Liu, Di; Zhang, Qin; Bradbury, Peter J; Buckler, Edward S; Zhang, Zhiwu; ",Expanding the BLUP alphabet for genomic prediction adaptable to the genetic architectures of complex traits,Heredity,121,6,648-662,2018,Springer International Publishing Cham
"Zhou, Shaoqun; Zhang, Ying K; Kremling, Karl A; Ding, Yezhang; Bennett, John S; Bae, Justin S; Kim, Dean K; Ackerman, Hayley H; Kolomiets, Michael V; Schmelz, Eric A; ",Ethylene signaling regulates natural variation in the abundance of antifungal acetylated diferuloylsucroses and Fusarium graminearum resistance in maize seedling roots,New Phytologist,221,4,2096-2111,2019,
"Glaubitz, Jeff; Casstevens, T; Elshire, R; Harriman, J; Casstevens, T; ",TASSEL 3.0 genotyping by sequencing (GBS) pipeline documentation,USDA-ARS. http://www. maizegenetics. net/tassel/docs/Tassel-PipelineGBS. pdf (accessed 29 Sept. 2017)[Europe PMC free article][Abstract][Google Scholar],,,,2012,
"Walters, William A; Jin, Zhao; Youngblut, Nicholas; Wallace, Jason G; Sutter, Jessica; Zhang, Wei; González-Peña, Antonio; Peiffer, Jason; Koren, Omry; Shi, Qiaojuan; ",Large-scale replicated field study of maize rhizosphere identifies heritable microbes,Proceedings of the National Academy of Sciences,115,28,7368-7373,2018,National Academy of Sciences
"Valluru, Ravi; Gazave, Elodie E; Fernandes, Samuel B; Ferguson, John N; Lozano, Roberto; Hirannaiah, Pradeep; Zuo, Tao; Brown, Patrick J; Leakey, Andrew DB; Gore, Michael A; ",Deleterious mutation burden and its association with complex traits in sorghum (Sorghum bicolor),Genetics,211,3,1075-1087,2019,Oxford University Press
"Kremling, Karl AG; Diepenbrock, Christine H; Gore, Michael A; Buckler, Edward S; Bandillo, Nonoy B; ",Transcriptome-wide association supplements genome-wide association in Zea mays,"G3: Genes, Genomes, Genetics",9,9,3023-3033,2019,Oxford University Press
"AlKhalifah, Naser; Campbell, Darwin A; Falcon, Celeste M; Gardiner, Jack M; Miller, Nathan D; Romay, Maria Cinta; Walls, Ramona; Walton, Renee; Yeh, Cheng-Ting; Bohn, Martin; ","Maize genomes to fields: 2014 and 2015 field season genotype, phenotype, environment, and inbred ear image datasets",BMC research notes,11,1,452,2018,BioMed Central London
"Lozano, Roberto; Booth, Gregory T; Omar, Bilan Yonis; Li, Bo; Buckler, Edward S; Lis, John T; Jannink, Jean-Luc; Del Carpio, Dunia Pino; ",RNA polymerase mapping in plants identifies enhancers enriched in causal variants,BioRxiv,,,376640,2018,Cold Spring Harbor Laboratory
"Baguma, Y; Buckler, E; Liu, F; Kawuki, R; Punna, R; Labuschagne, MT; Herselman, L; ",Genome-wide association mapping of carotenoid content in cassava,,,,,2016,Springer Verlag
"Sun, Silong; Zhou, Yingsi; Chen, Jian; Shi, Junpeng; Zhao, Haiming; Zhao, Hainan; Song, Weibin; Zhang, Mei; Cui, Yang; Dong, Xiaomei; ",Extensive intraspecific gene order and gene structural variations between Mo17 and other maize genomes,Nature genetics,50,9,1289-1295,2018,Nature Publishing Group US New York
"Springer, Nathan M; Anderson, Sarah N; Andorf, Carson M; Ahern, Kevin R; Bai, Fang; Barad, Omer; Barbazuk, W Brad; Bass, Hank W; Baruch, Kobi; Ben-Zvi, Gil; ",The maize W22 genome provides a foundation for functional genomics and transposon biology,Nature genetics,50,9,1282-1288,2018,Nature Publishing Group US New York
"Wallace, Jason G; Kremling, Karl A; Kovar, Lynsey L; Buckler, Edward S; ",Quantitative genetics of the maize leaf microbiome,Phytobiomes Journal,2,4,208-224,2018,Phytobiomes
"Li, Bo; Kremling, Karl AG; Wu, Penghao; Bukowski, Robert; Romay, Maria C; Xie, En; Buckler, Edward S; Chen, Mingsheng; ",Coregulation of ribosomal RNA with hundreds of genes contributes to phenotypic variation,Genome Research,28,10,1555-1565,2018,Cold Spring Harbor Lab
"Zhou, Shaoqun; Kremling, Karl A; Bandillo, Nonoy; Richter, Annett; Zhang, Ying K; Ahern, Kevin R; Artyukhin, Alexander B; Hui, Joshua X; Younkin, Gordon C; Schroeder, Frank C; ",Metabolome-scale genome-wide association studies reveal chemical diversity and genetic control of maize specialized metabolites,The Plant Cell,31,5,937-955,2019,American Society of Plant Biologists
"Richter, Annett; Schaff, Claudia; Zhang, Zhiwu; Lipka, Alexander E; Tian, Feng; Köllner, Tobias G; Schnee, Christiane; Preiß, Susanne; Irmisch, Sandra; Jander, Georg; ",Characterization of Biosynthetic Pathways for the Production of the Volatile Homoterpenes DMNT and,,,,,,
"Baseggio, Matheus; Murray, Matthew; Magallanes‐Lundback, Maria; Kaczmar, Nicholas; Chamness, James; Buckler, Edward S; Smith, Margaret E; DellaPenna, Dean; Tracy, William F; Gore, Michael A; ",Genome‐wide association and genomic prediction models of tocochromanols in fresh sweet corn kernels,The Plant Genome,12,1,180038,2019,Crop Science Society of America
"Ramstein, Guillaume P; Jensen, Sarah E; Buckler, Edward S; ",Breaking the curse of dimensionality to identify causal variants in Breeding 4,Theoretical and Applied Genetics,132,3,559-567,2019,Springer Berlin Heidelberg Berlin/Heidelberg
"Valluru, Ravi; Gazave, Elodie E; Fernandes, Samuel B; Ferguson, John N; Lozano, Roberto; Hirannaiah, Pradeep; Zuo, Tao; Brown, Patrick J; Leakey, Andrew DB; Gore, Michael A; ",Leveraging mutational burden for complex trait prediction in sorghum,bioRxiv,,,357418,2018,Cold Spring Harbor Laboratory
"Oren, Elad; Tzuri, Galil; Vexler, Lea; Dafna, Asaf; Meir, Ayala; Faigenboim, Adi; Kenigswald, Merav; Portnoy, Vitaly; Schaffer, Arthur A; Levi, Amnon; ",The multi-allelic APRR2 gene is associated with fruit pigment accumulation in melon and watermelon,Journal of Experimental Botany,70,15,3781-3794,2019,Oxford University Press UK
"PLoS Genetics Staff; ",Correction: iterative usage of fixed and random effect models for powerful and efficient genome-wide association studies,PLoS genetics,12,3,e1005957,2016,"Public Library of Science San Francisco, CA USA"
"Moose, Stephen; Below, F; Buckler, ES; ",Gene discovery for maize responses to nitrogen,Research project. University of Illinois at Urbana Champaign. USA. nitrogenes. cropsci. illinois. edu/NSFPG% 20Maize% 20NUE% 20proposal. pdf,,,,2005,
"Washburn, Jacob D; Mejia-Guerra, Maria Katherine; Ramstein, Guillaume; Kremling, Karl A; Valluru, Ravi; Buckler, Edward S; Wang, Hai; ",Evolutionarily informed deep learning methods for predicting relative transcript abundance from DNA sequence,Proceedings of the National Academy of Sciences,116,12,5542-5549,2019,National Academy of Sciences
"Yang, Chin Jian; Samayoa, Luis Fernando; Bradbury, Peter J; Olukolu, Bode A; Xue, Wei; York, Alessandra M; Tuholski, Michael R; Wang, Weidong; Daskalska, Lora L; Neumeyer, Michael A; ",The genetic architecture of teosinte catalyzed and constrained maize domestication,Proceedings of the National Academy of Sciences,116,12,5643-5652,2019,National Academy of Sciences
"Olsen, Mike; Robbins, Kelly; Dreher, Kate; Ayala, Claudio; Crossa, Jose; Burgueno, Juan; Perez-Rodriguez, Paulino; Alvarado, Gregorio; Gowda, Manje; Punna, Ed Buckler; ",Large scale deployment of rAmpSeq genotyping technology in maize genomic selection,,,,,2018,CIMMYT
"Mejía-Guerra, María Katherine; Buckler, Edward S; ",A k-mer grammar analysis to uncover maize regulatory architecture,BMC plant biology,19,1,103,2019,BioMed Central London
"HOEKENGA, OA; BUCKLER, E; Maron, L; de MAGALHAES, JV; Kirst, M; Krill, A; LYI, SM; Rose, J; THANNHAUSER, T; KOCHIAN, L; ",Joint linkage-association analysis of aluminum tolerance in maize.,Plant and Animal Genome VX Conference Abstracts,,,55,2007,
"Goode, Matthew; Strimmer, Korbinian; Drummond, Alexei; Buckler, Ed; Rodrigo, Allen; ",A brief introduction to the Phylogenetic Analysis Library version 1.5,Proceedings of the second conference on Asia-Pacific bioinformatics-Volume 29,,,175-179,2004,
"Dos Santos, Jhonathan PR; Fernandes, Samuel B; McCoy, Scott; Lozano, Roberto; Brown, Patrick J; Leakey, Andrew DB; Buckler, Edward S; Garcia, Antonio AF; Gore, Michael A; ",Novel bayesian networks for genomic prediction of developmental traits in biomass sorghum,"G3: Genes, Genomes, Genetics",10,2,769-781,2020,Oxford University Press
"Gates, Daniel J; Runcie, Dan; Janzen, Garrett M; Navarro, Alberto Romero; Willcox, Martha; Sonder, Kai; Snodgrass, Samantha J; Rodríguez-Zapata, Fausto; Sawers, Ruairidh JH; Rellán-Álvarez, Rubén; ",Single-gene resolution of locally adaptive genetic variation in Mexican maize,BioRxiv,,,706739,2019,Cold Spring Harbor Laboratory
"Ramstein, Guillaume P; Larsson, Sara J; Cook, Jason P; Edwards, Jode W; Ersoz, Elhan S; Flint-Garcia, Sherry; Gardner, Candice A; Holland, James B; Lorenz, Aaron J; McMullen, Michael D; ",The relevance of dominance and functional annotations to predict agronomic traits in hybrid maize,BioRxiv,,,745208,2019,Cold Spring Harbor Laboratory
"Gage, Joseph L; Richards, Elliot; Lepak, Nicholas; Kaczmar, Nicholas; Soman, Chinmay; Chowdhary, Girish; Gore, Michael A; Buckler, Edward S; ",In‐field whole‐plant maize architecture characterized by subcanopy rovers and latent space phenotyping,The Plant Phenome Journal,2,1,1-11,2019,American Society of Agronomy and Crop Science Society of America
"Ding, Yezhang; Murphy, Katherine M; Poretsky, Elly; Mafu, Sibongile; Yang, Bing; Char, Si Nian; Christensen, Shawn A; Saldivar, Evan; Wu, Mengxi; Wang, Qiang; ",Multiple genes recruited from hormone pathways partition maize diterpenoid defences,Nature Plants,5,10,1043-1056,2019,Nature Publishing Group UK London
"Lozano, Roberto; Gazave, Elodie; dos Santos, Jhonathan PR; Stetter, Markus; Valluru, Ravi; Bandillo, Nonoy; Fernandes, Samuel B; Brown, Patrick J; Shakoor, Nadia; Mockler, Todd C; ",Comparative evolutionary analysis and prediction of deleterious mutation patterns between sorghum and maize,Biorxiv,,,777623,2019,Cold Spring Harbor Laboratory
"Jensen, Sarah E; Charles, Jean Rigaud; Muleta, Kebede; Bradbury, Peter J; Casstevens, Terry; Deshpande, Santosh P; Gore, Michael A; Gupta, Rajeev; Ilut, Daniel C; Johnson, Lynn; ",A sorghum practical haplotype graph facilitates genome‐wide imputation and cost‐effective genomic prediction,The Plant Genome,13,1,e20009,2020,
"dos Santos, Jhonathan Pedroso Rigal; Fernandes, Samuel B; Lozano, Roberto; Brown, Patrick J; Buckler, Edward S; Garcia, Antonio Augusto Franco; Gore, Michael A; ",Novel Bayesian Networks for Genomic Prediction of Dynamic Traits in Bioenergy Sorghum,"Plant and Animal Genome XXVII Conference (January 12-16, 2019)",,,,,PAG
"Punna, Ramu; Lu, Fei; Verma, Janu; Buckler, Edward S; ",Identifying Genetic Load By Whole Genome and Transcriptome Sequencing of Cassava Breeding Lines,,,,,,
"Elshire, RJ; Glaubitz, JC; Sun, Q; Harriman, JV; Buckler, ES; Mitchell, SE; ",Genotyping-by-sequencing,,,,,,
"Ricci, William A; Lu, Zefu; Ji, Lexiang; Marand, Alexandre P; Ethridge, Christina L; Murphy, Nathalie G; Noshay, Jaclyn M; Galli, Mary; Mejía-Guerra, María Katherine; Colomé-Tatché, Maria; ",Widespread long-range cis-regulatory elements in the maize genome,Nature plants,5,12,1237-1249,2019,Nature Publishing Group UK London
"Wallace, Jason; Mohseni, Mohsen; Kremling, Karl; Walters, William A; Lepak, Nicholas; Ley, Ruth E; Buckler, Edward; ",The Effect of Host Genetics on Maize-Microbiome Interactions.,"ASA, CSSA and SSSA International Annual (2017)",,,,2017,ASA-CSSA-SSSA
"Falcon, Celeste M; Kaeppler, Shawn M; Spalding, Edgar P; Miller, Nathan D; Haase, Nicholas; AlKhalifah, Naser; Bohn, Martin; Buckler, Edward S; Campbell, Darwin A; Ciampitti, Ignacio; ","Relative utility of agronomic, phenological, and morphological traits for assessing genotype‐by‐environment interaction in maize inbreds",Crop Science,60,1,62-81,2020,
"Tu, Xiaoyu; Mejía-Guerra, María Katherine; Franco, Jose A Valdes; Tzeng, David; Chu, Po-Yu; Dai, Xiuru; Li, Pinghua; Buckler, Edward S; Zhong, Silin; ",Decoding the regulatory architecture of the maize leaf,bioRxiv,,,2020.01. 07.898056,2020,Cold Spring Harbor Laboratory
"Johnson, Lynn C; Bradbury, Peter; Casstevens, Terry; Ilut, Daniel; Miller, Zachary; Punna, Ramu; Romay, M Cinta; Buckler, Edward; ",A practical haplotype graph for determining genomic sequence,"Plant and Animal Genome XXVI Conference (January 13-17, 2018)",,,,2018,PAG
"Goode, M; Buckler, E; Drummond, A; Strimmer, K; Rodrigo, A; ",A Brief Introduction to the Phylogenetic Analysis Library V1. 5,,,,,,
"Gao, Star Yanxin; Glaser, Philip; Lamos-Sweeney, Joshua; Nti-Addae, Yaw A; Palis, Kevin; Raza, Syed; Villahoz-Baleta, Angel; Weigand, Deb; Jones, Elizabeth; Buckler, Edward S; ",Genomic Open-Source Breeding Informatics Initiative Data Extract and Decision Support Tools,"Plant and Animal Genome XXVI Conference (January 13-17, 2018)",,,,,PAG
"Wang, Hai; Cimen, Emre; Singh, Nisha; Buckler, Edward; ",Deep learning for plant genomics and crop improvement,Current opinion in plant biology,54,,34-41,2020,Elsevier Current Trends
"Ricci, William A; Zefu, Lu; Lexiang, Ji; Marand, Alexandre P; Ethridge, Christina L; Murphy, Nathalie G; Noshay, Jaclyn M; Galli, Mary; Mejía-Guerra, María Katherine; Maria, Colomé-Tatché; ",Author Correction: Widespread long-range cis-regulatory elements in the maize genome,Nature plants,6,3,328-328,2020,Nature Publishing Group
"Swarts, Kelly; Gutaker, Rafal; Benz, Bruce; Blake, Michael; Bukowski, Robert; Holland, James B; Kruse-Peeples, Melissa; Lepak, Nicholas K; Prim, Lynda; Romay, M Cinta; ",Origins of Temperate Adapted Maize,,,,,2018,
"McFarland, Bridget A; AlKhalifah, Naser; Bohn, Martin; Bubert, Jessica; Buckler, Edward S; Ciampitti, Ignacio; Edwards, Jode; Ertl, David; Gage, Joseph L; Falcon, Celeste M; ","Maize genomes to fields (G2F): 2014–2017 field seasons: genotype, phenotype, climatic, soil, and inbred ear image datasets",BMC research notes,13,1,71,2020,BioMed Central London
"Buckler, Ed; ",Breeding 4.0? Sorting through the Adaptive and Deleterious Variants across Crop Genome,"Plant and Animal Genome XXVI Conference (January 13-17, 2018)",,,,2018,PAG
"Pressoir, Gael; Charles, Jean Rigaud; Muleta, Kebede T; Buckler, Ed; Morris, Geoffrey; ",Making Genomic Selection Possible in Low-Resources Breeding Programs,"Plant and Animal Genome XXVI Conference (January 13-17, 2018)",,,,,PAG
"Wang, Hai; Washburn, Jacob D; Guerra, Maria Katherine Mejia; Kremling, Karl A; Valluru, Ravi; Buckler, Edward; Ramstein, Guillaume; ",Deep Learning of Transcriptional Effects of Genome Variation,"Plant and Animal Genome XXVII Conference (January 12-16, 2019)",,,,2019,PAG
"Muleta, Kebede T; Pressoir, Gael; Buckler, Edward S; Morris, Geoffrey P; ",Optimizing Genomic-Assisted Recurrent Selection for Small Breeding Programs in Developing Countries,"Plant and Animal Genome XXVI Conference (January 13-17, 2018)",,,,,PAG
"Ding, Yezhang; Weckwerth, Philipp R; Poretsky, Elly; Murphy, Katherine M; Sims, James; Saldivar, Evan; Christensen, Shawn A; Char, Si Nian; Yang, Bing; Tong, Anh-dao; ",Genetic elucidation of complex biochemical traits mediating maize innate immunity,BioRxiv,,,2020.03. 04.977355,2020,Cold Spring Harbor Laboratory
"Ramstein, Guillaume P; Larsson, Sara J; Cook, Jason P; Edwards, Jode W; Ersoz, Elhan S; Flint-Garcia, Sherry; Gardner, Candice A; Holland, James B; Lorenz, Aaron J; McMullen, Michael D; ",Dominance effects and functional enrichments improve prediction of agronomic traits in hybrid maize,Genetics,215,1,215-230,2020,Oxford University Press
"Chu, Xiuru Dai; Li, Pinghua; Buckler, Edward S; Zhong, Silin; ",The transcription regulatory code of a plant leaf,,,,,2020,
"Nti-Addae, Yaw A; Gao, Star Yanxin; Glaser, Philip; Lamos-Sweeney, Joshua; Palis, Kevin; Raza, Syed; Villahoz-Baleta, Angel; Weigand, Deb; Jones, Elizabeth; Buckler, Ed; ",Genomic Data Management System (GOBII-DMS),"Plant and Animal Genome XXVI Conference (January 13-17, 2018)",,,,,PAG
"Atlin, Gary; Buckler, Edward; Jannink, Jean-Luc; McCouch, Susan; Windhausen, Vanessa; Babu, Raman; Crossa, Jose; Lopez, Marco; Endelman, Jeffrey; Varshney, Rajeev; ",Progress and Challenges in the Use of High-Density Genetic Markers by CGIAR Breeding Programs to Increase Genetic Gains for Major Food Crops in the Developing World.,International Annual Meeting American Society of Agronomy/Crop Science Society of America/Soil Science Society of America 2012,,,,2012,
"Bradbury, Peter; Casstevens, Terry; Ilut, Dan; Johnson, Lynn; Miller, Zachary; Punna, Ramu; Romay, Maria Cinta; Buckler, Edward; ",Inferring genotypes from skim sequence using a graph‐based approach: The Practical Haplotype Graph,Genome Res,27,5,665-676,2017,
"Baseggio, Matheus; Murray, Matthew; Magallanes‐Lundback, Maria; Kaczmar, Nicholas; Chamness, James; Buckler, Edward S; Smith, Margaret E; DellaPenna, Dean; Tracy, William F; Gore, Michael A; ",Natural variation for carotenoids in fresh kernels is controlled by uncommon variants in sweet corn,The Plant Genome,13,1,e20008,2020,
"Guerra, Maria Katherine Mejia; Kremling, Karl A; Buckler, Ed; ",Machine Learning Approaches to Target Functional Non-Coding Variation,"Plant and Animal Genome XXVI Conference (January 13-17, 2018)",,,,2018,PAG
"Gage, Joseph L; Monier, Brandon; Giri, Anju; Buckler, Edward S; ","Ten years of the maize nested association mapping population: impact, limitations, and future directions",The Plant Cell,32,7,2083-2093,2020,American Society of Plant Biologists
"Chen, Qiuyue; Samayoa, Luis Fernando; Yang, Chin Jian; Bradbury, Peter J; Olukolu, Bode A; Neumeyer, Michael A; Romay, Maria Cinta; Sun, Qi; Lorant, Anne; Buckler, Edward S; ","The genetic architecture of the maize progenitor, teosinte, and how it was altered during maize domestication",PLoS genetics,16,5,e1008791,2020,"Public Library of Science San Francisco, CA USA"
"Yang, Jinliang; Buckler, Edward S; McMullen, Michael D; Mumm, Rita H; Ross-Ibarra, Jeffrey; ",Phenotypic Effects of Deleterious Alleles and their Contributions to Heterosis in Maize,"Plant and Animal Genome XXVI Conference (January 13-17, 2018)",,,,2018,PAG
"Jones, Elizabeth; Nti-Addae, Yaw; Gao, Star; McCouch, Susan R; Robbins, Kelly R; Mueller, Lukas; Sorrells, Mark E; Jannink, Jean-Luc; Sun, QI; Varshney, Rajeev K; ",The Gobii Project: Transforming Breeding through Genomic Data Management and Decision Support.,"ASA, CSSA, and CSA International Annual Meeting (2018)",,,,2018,ASA-CSSA-SSSA
"Clohessy, James W; Pauli, Duke; Kreher, Kevin M; Buckler, Edward S; Armstrong, Paul R; Wu, Tingting; Hoekenga, Owen A; Jannink, Jean‐Luc; Sorrells, Mark E; Gore, Michael A; ",A Low‐Cost Automated System for High‐Throughput Phenotyping of Single Oat Seeds,The Plant Phenome Journal,1,1,1-13,2018,American Society of Agronomy and Crop Science Society of America
"Cimen, Emre; Jensen, Sarah E; Buckler, Edward S; ",Building a tRNA thermometer to access the world’s biochemical diversity,bioRxiv,,,2020.07. 01.179846,2020,Cold Spring Harbor Laboratory
"Song, Baoxing; Wang, Hai; Wu, Yaoyao; Rees, Evan; Gates, Daniel J; Burch, Merritt; Bradbury, Peter J; Ross-Ibarra, Jeff; Kellogg, Elizabeth A; Hufford, Matthew B; ",Constrained non-coding sequence provides insights into regulatory elements and loss of gene expression in maize,bioRxiv,,,2020.07. 11.192575,2020,Cold Spring Harbor Laboratory
"Diepenbrock, Christine H; Ilut, Daniel C; Magallanes-Lundback, Maria; Kandianis, Catherine B; Lipka, Alexander E; Bradbury, Peter J; Holland, James B; Hamilton, John P; Wooldridge, Edmund; Vaillancourt, Brieanne; ",Eleven biosynthetic genes explain the majority of natural variation in carotenoid levels in maize grain,The Plant Cell,33,4,882-900,2021,Oxford University Press
"Monier, Brandon; Casstevens, Terry M; Bradbury, Peter J; Buckler, Edward S; ",rTASSEL: an R interface to TASSEL for association mapping of complex traits,BioRxiv,,,2020.07. 21.209114,2020,Cold Spring Harbor Laboratory
"Blanc, Jennifer; Kremling, Karl AG; Buckler, Edward; Josephs, Emily B; ",Local adaptation contributes to gene expression divergence in maize,G3,11,2,jkab004,2021,Oxford University Press
"Franco, Jose A Valdes; Gage, Joseph L; Bradbury, Peter J; Johnson, Lynn C; Miller, Zachary R; Buckler, Edward S; Romay, M Cinta; ",A maize practical haplotype graph leverages diverse NAM assemblies,bioRxiv,,,2020.08. 31.268425,2020,Cold Spring Harbor Laboratory
"Chen, Shu-Yun; Su, Mei-Hsiu; Kremling, Karl A; Lepak, Nicholas K; Romay, M Cinta; Sun, Qi; Bradbury, Peter J; Buckler, Edward S; Ku, Hsin-Mei; ",Identification of miRNA-eQTLs in maize mature leaf by GWAS,BMC genomics,21,1,689,2020,BioMed Central London
"Tu, Xiaoyu; Mejía-Guerra, María Katherine; Valdes Franco, Jose A; Tzeng, David; Chu, Po-Yu; Shen, Wei; Wei, Yingying; Dai, Xiuru; Li, Pinghua; Buckler, Edward S; ",Reconstructing the maize leaf regulatory network using ChIP-seq data of 104 transcription factors,Nature communications,11,1,5089,2020,Nature Publishing Group UK London
"Ding, Yezhang; Weckwerth, Philipp R; Poretsky, Elly; Murphy, Katherine M; Sims, James; Saldivar, Evan; Christensen, Shawn A; Char, Si Nian; Yang, Bing; Tong, Anh-dao; ",Genetic elucidation of interconnected antibiotic pathways mediating maize innate immunity,Nature plants,6,11,1375-1388,2020,Nature Publishing Group UK London
"Ferguson, John N; Fernandes, Samuel B; Monier, Brandon; Miller, Nathan D; Allen, Dylan; Dmitrieva, Anna; Schmuker, Peter; Lozano, Roberto; Valluru, Ravi; Buckler, Edward S; ",Machine learning-enabled phenotyping for GWAS and TWAS of WUE traits in 869 field-grown sorghum accessions,Plant Physiology,187,3,1481-1500,2021,Oxford University Press
"Cimen, Emre; Jensen, Sarah E; Buckler, Edward S; ",Building a tRNA thermometer to estimate microbial adaptation to temperature,Nucleic Acids Research,48,21,12004-12015,2020,Oxford University Press
"Jarquin, Diego; De Leon, Natalia; Romay, Cinta; Bohn, Martin; Buckler, Edward S; Ciampitti, Ignacio; Edwards, Jode; Ertl, David; Flint-Garcia, Sherry; Gore, Michael A; ",Utility of climatic information via combining ability models to improve genomic prediction for yield within the genomes to fields maize project,Frontiers in genetics,11,,592769,2021,Frontiers Media SA
"Rogers, Anna R; Dunne, Jeffrey C; Romay, Cinta; Bohn, Martin; Buckler, Edward S; Ciampitti, Ignacio A; Edwards, Jode; Ertl, David; Flint-Garcia, Sherry; Gore, Michael A; ",The importance of dominance and genotype-by-environment interactions on grain yield variation in a large-scale public cooperative maize experiment,G3,11,2,jkaa050,2021,Oxford University Press
"Jores, Tobias; Tonnies, Jackson; Wrightsman, Travis; Buckler, Edward S; Cuperus, Josh T; Fields, Stanley; Queitsch, Christine; ",Synthetic promoter designs enabled by a comprehensive analysis of plant core promoters,Nature Plants,7,6,842-855,2021,Nature Publishing Group UK London
"Lozano, Roberto; Gazave, Elodie; Dos Santos, Jhonathan PR; Stetter, Markus G; Valluru, Ravi; Bandillo, Nonoy; Fernandes, Samuel B; Brown, Patrick J; Shakoor, Nadia; Mockler, Todd C; ",Comparative evolutionary genetics of deleterious load in sorghum and maize,Nature plants,7,1,17-24,2021,Nature Publishing Group UK London
"Miller, Allison J; Matasci, Naim; Schwaninger, Heidi; Aradhya, Mallikarjuna K; Prins, Bernard; Zhong, Gan-Yuan; Simon, Charles; Buckler, Edward S; Myles, Sean; ",Correction: Vitis Phylogenomics: Hybridization Intensities from a SNP Array Outperform Genotype Calls,Plos one,9,1,10.1371/annotation/283e5eba-a65d-42a3-a430-6ca0be86147c,2014,
"Barnes, Allison C; Rodríguez-Zapata, Fausto; Juárez-Núñez, Karla A; Gates, Daniel J; Janzen, Garrett M; Kur, Andi; Wang, Li; Jensen, Sarah E; Estévez-Palmas, Juan M; Crow, Taylor M; ",An adaptive teosinte mexicana introgression modulates phosphatidylcholine levels and is associated with maize flowering time,Proceedings of the National Academy of Sciences,119,27,e2100036119,2022,National Academy of Sciences
"Baseggio, Matheus; Murray, Matthew; Wu, Di; Ziegler, Gregory; Kaczmar, Nicholas; Chamness, James; Hamilton, John P; Buell, C Robin; Vatamaniuk, Olena K; Buckler, Edward S; ",Genome-wide association study suggests an independent genetic basis of zinc and cadmium concentrations in fresh sweet corn kernels,G3,11,8,jkab186,2021,Oxford University Press
"Dafna, Asaf; Halperin, Ilan; Oren, Elad; Isaacson, Tal; Tzuri, Galil; Meir, Ayala; Schaffer, Arthur A; Burger, Joseph; Tadmor, Yaakov; Buckler, Edward S; ",Underground heterosis for yield improvement in melon,Journal of Experimental Botany,72,18,6205-6218,2021,Oxford University Press UK
"Giri, Anju; Khaipho-Burch, Merritt; Buckler, Edward S; Ramstein, Guillaume P; ",Haplotype associated RNA expression (HARE) improves prediction of complex traits in maize,PLoS Genetics,17,10,e1009568,2021,"Public Library of Science San Francisco, CA USA"
"Pignon, Charles P; Fernandes, Samuel B; Valluru, Ravi; Bandillo, Nonoy; Lozano, Roberto; Buckler, Edward; Gore, Michael A; Long, Stephen P; Brown, Patrick J; Leakey, Andrew DB; ",Phenotyping stomatal closure by thermal imaging for GWAS and TWAS of water use efficiency-related genes,Plant physiology,187,4,2544-2562,2021,Oxford University Press
