Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Tracy, William F; Whitt, Sherry R; Buckler, Edward S; ",Recurrent mutation and genome evolution: example of Sugary1 and the origin of sweet maize,Crop Science,46,,S-49-S-54,2006,Crop Science Society of America Madison
"Elshire, Robert J; Glaubitz, Jeffrey C; Sun, Qi; Poland, Jesse A; Kawamoto, Ken; Buckler, Edward S; Mitchell, Sharon E; ","A robust, simple genotyping-by-sequencing (GBS) approach for high diversity species",PloS one,6,5,e19379,2011,Public Library of Science
"Weber, Allison L; Briggs, William H; Rucker, Jesse; Baltazar, Baltazar M; de Jesus Sánchez-Gonzalez, José; Feng, Ping; Buckler, Edward S; Doebley, John; ",The genetic architecture of complex traits in teosinte (Zea mays ssp. parviglumis): new evidence from association mapping,Genetics,180,2,1221-1232,2008,Oxford University Press
"Kump, Kristen L; Bradbury, Peter J; Wisser, Randall J; Buckler, Edward S; Belcher, Araby R; Oropeza-Rosas, Marco A; Zwonitzer, John C; Kresovich, Stephen; McMullen, Michael D; Ware, Doreen; ",Genome-wide association study of quantitative resistance to southern leaf blight in the maize nested association mapping population,Nature genetics,43,2,163-168,2011,Nature Publishing Group
"McCue, Kimberlie A; Buckler, Edward S; Holtsford, Timothy P; ",A hierarchical view of genetic structure in the rare annual plant Clarkia springvillensis,Conservation Biology,10,5,1425-1434,1996,"Blackwell Science Inc 238 Main Street, Cambridge, Massachusetts 02142"
"Gore, Michael; Bradbury, Peter; Hogers, René; Kirst, Matias; Verstege, Esther; van Oeveren, Jan; Peleman, Johan; Buckler, Edward; van Eijk, Michiel; ",Evaluation of target preparation methods for single‐feature polymorphism detection in large complex plant genomes,Crop Science,47,,S-135-S-148,2007,Crop Science Society of America Madison
"Ersoz, Elhan S; Yu, Jianming; Buckler, Edward S; ",Applications of linkage disequilibrium and association mapping in maize,Molecular genetic approaches to maize improvement,,,173-195,2009,"Springer Berlin Heidelberg Berlin, Heidelberg"
"Esch, Elisabeth; Szymaniak, Jessica M; Yates, Heather; Pawlowski, Wojciech P; Buckler, Edward S; ",Using crossover breakpoints in recombinant inbred lines to identify quantitative trait loci controlling the global recombination frequency,Genetics,177,3,1851-1858,2007,Oxford University Press
"Pressoir, Gael; Brown, Patrick J; Zhu, Wenyan; Upadyayula, Narasimham; Rocheford, Torbert; Buckler, Edward S; Kresovich, Stephen; ",Natural variation in maize architecture is mediated by allelic differences at the PINOID co‐ortholog barren inflorescence2,The Plant Journal,58,4,618-628,2009,"Blackwell Publishing Ltd Oxford, UK"
"Flint-Garcia, Sherry A; Buckler, Edward S; Tiffin, Peter; Ersoz, Elhan; Springer, Nathan M; ",Heterosis is prevalent for multiple traits in diverse maize germplasm,PloS one,4,10,e7433,2009,Public Library of Science
"Bernardo, Amy N; Bradbury, Peter J; Ma, Hongxiang; Hu, Shengwa; Bowden, Robert L; Buckler, Edward S; Bai, Guihua; ",Discovery and mapping of single feature polymorphisms in wheat using Affymetrix arrays,BMC genomics,10,1,251,2009,BioMed Central London
"Zhang, Z; Todhunter, RJ; Buckler, ES; Van Vleck, L Dale; ",Use of marker-based relationships with multiple-trait derivative-free restricted maximal likelihood,Journal of animal science,85,4,881-885,2007,Oxford University Press
"Casstevens, Terry M; Buckler, Edward S; ",GDPC: connecting researchers with multiple integrated data sources,Bioinformatics,20,16,2839-2840,2004,Oxford University Press
"Buckler, Edward; Gore, Michael; ",An Arabidopsis haplotype map takes root,Nature Genetics,39,9,1056-1057,2007,Nature Publishing Group US New York
"Myles, Sean; Boyko, Adam R; Owens, Christopher L; Brown, Patrick J; Grassi, Fabrizio; Aradhya, Mallikarjuna K; Prins, Bernard; Reynolds, Andy; Chia, Jer-Ming; Ware, Doreen; ",Genetic structure and domestication history of the grape,Proceedings of the National Academy of Sciences,108,9,3530-3535,2011,National Academy of Sciences
"Canaran, Payan; Buckler, Edward S; Glaubitz, Jeffrey C; Stein, Lincoln; Sun, Qi; Zhao, Wei; Ware, Doreen; ",Panzea: an update on new content and features,Nucleic acids research,36,suppl_1,D1041-D1043,2007,Oxford University Press
"Zhang, Zhiwu; Buckler, Edward S; Casstevens, Terry M; Bradbury, Peter J; ",Software engineering the mixed model for genome-wide association studies on large samples,Briefings in bioinformatics,10,6,664-675,2009,Oxford University Press
"Krill, Allison M; Kirst, Matias; Kochian, Leon V; Buckler, Edward S; Hoekenga, Owen A; ",Association and linkage analysis of aluminum tolerance genes in maize,Plos one,5,4,e9958,2010,Public Library of Science
"Hamblin, Martha T; Buckler, Edward S; Jannink, Jean-Luc; ",Population genetics of genomics-based crop improvement methods,Trends in genetics,27,3,98-106,2011,Elsevier
"Setter, Tim L; Yan, Jianbing; Warburton, Marilyn; Ribaut, Jean-Marcel; Xu, Yunbi; Sawkins, Mark; Buckler, Edward S; Zhang, Zhiwu; Gore, Michael A; ",Genetic association mapping identifies single nucleotide polymorphisms in genes that affect abscisic acid levels in maize floral tissues during drought,Journal of experimental botany,62,2,701-716,2011,Oxford University Press
"Zhang, Nengyi; Gur, Amit; Gibon, Yves; Sulpice, Ronan; Flint-Garcia, Sherry; McMullen, Michael D; Stitt, Mark; Buckler, Edward S; ",Genetic analysis of central carbon metabolism unveils an amino acid substitution that alters maize NAD-dependent isocitrate dehydrogenase activity,PLoS One,5,4,e9991,2010,Public Library of Science
"Zhang, Nengyi; Gibon, Yves; Gur, Amit; Chen, Charles; Lepak, Nicholas; Höhne, Melanie; Zhang, Zhiwu; Kroon, Dallas; Tschoep, Hendrik; Stitt, Mark; ",Fine quantitative trait loci mapping of carbon and nitrogen metabolism enzyme activities and seedling biomass in the maize IBM mapping population,Plant physiology,154,4,1753-1765,2010,American Society of Plant Biologists
"Jaiswal, Pankaj; Ni, Junjian; Yap, Immanuel; Ware, Doreen; Spooner, William; Youens-Clark, Ken; Ren, Liya; Liang, Chengzhi; Hurwitz, Bonnie; Zhao, Wei; ",Gramene: a genomics and genetics resource for rice,Rice Genetics Newsletter,22,1,9-16,2006,
"Du, Chunguang; Buckler, Edward; Muse, Spencer; ",Development of a maize molecular evolutionary genomic database,Comparative and functional genomics,4,2,246-249,2003,"John Wiley & Sons, Ltd. Chichester, UK"
"Poland, Jesse A; Bradbury, Peter J; Buckler, Edward S; Nelson, Rebecca J; ",Genome-wide nested association mapping of quantitative resistance to northern leaf blight in maize,Proceedings of the National Academy of Sciences,108,17,6893-6898,2011,National Academy of Sciences
"Bradbury, Peter; Kroon, Dallas; Zhang, Zhiwu; Casstevens, Terry; Buckler, EE; ","Tassel: software for analyzing trait associations, evolutionary patterns, and linkage disequilibrium","SNP Markers Symposium: Discovery, Development, Mapping, Utilization. ASA-CSSASSSA International Annual Meetings, Salt Lake City, UT",,,,2005,
"Li, Huihui; Bradbury, Peter; Ersoz, Elhan; Buckler, Edward S; Wang, Jiankang; ",Joint QTL linkage mapping for multiple-cross mating design sharing one common parent,PloS one,6,3,e17573,2011,Public Library of Science
"Hung, HY; Browne, Christopher; Guill, Katherine; Coles, Nathan; Eller, Magen; Garcia, Arturo; Lepak, Nicholas; Melia-Hancock, S; Oropeza-Rosas, M; Salvo, S; ",The relationship between parental genetic or phenotypic divergence and progeny variation in the maize nested association mapping population,Heredity,108,5,490-499,2012,Nature Publishing Group
"Bowen, Benjamin; Haudenschild, Christian; Buckler, Edward; ",Identification of genes associated with growth in plants,,,,,2003,"US Patent App. 10/338,777"
"Buckler IV, Edward St Clair; ",Maize domestication and molecular evolution,,,,,1997,University of Missouri-Columbia
"Jansson, Stefan; Buckler, Edward S; ",Genome studies and molecular genetics.,,,,,2007,
"Jaiswal, P; Ni, J; Yap, I; Ware, D; Spooner, W; Youens-Clark, K; Ren, L; Wei, X; Liang, C; Pasternak, S; ",IX. Gramene: a genomics and genetics resource for maize.,,,,,2006,
"Chen, Charles; DeClerck, Genevieve; Casstevens, Terry; Youens-Clark, Ken; Zhang, Jon; Ware, Doreen; Jaiswal, Pankaj; McCouch, Susan; Buckler, Edward; ",The gramene genetic diversity module: a resource for genotype-phenotype association analysis in grass species,Nature Precedings,,,1-1,2010,Nature Publishing Group UK London
"Buckler IV, Edward S; Ippolito, Anthony; Holtsford, Timothy P; ",The evolution of ribosomal DNA divergent paralogues and phylogenetic implications,Genetics,145,3,821-832,1997,Oxford University Press
"Wilson, Larissa M; Whitt, Sherry R; Ibaéñez, Ana M; Rocheford, Torbert R; Goodman, Major M; Buckler IV, Edward S; ",Dissection of maize kernel composition and starch production by candidate gene association,The Plant Cell,16,10,2719-2733,2004,American Society of Plant Biologists
"Vollbrecht, Erik; Springer, Patricia S; Goh, Lindee; Buckler IV, Edward S; Martienssen, Robert; ",Architecture of floral branch systems in maize and related grasses,Nature,436,7054,1119-1126,2005,Nature Publishing Group UK London
"Buckler IV, Edward S; Pearsall, Deborah M; Holtsiord, Timothy P; ","Climate, plant ecology, and Central Mexican archaic subsistence",Current Anthropology,39,1,152-164,1998,The University of Chicago Press
"Buckler IV, ES; Goodman, MM; Holtsford, TP; Doebley, JF; Sanchez G, J; ",Phylogeography of the wild subspecies of Zea mays,Maydica,51,,123-134,2006,Maydica 51 (2006): 123-134
"Buckler IV, Edward S; Pearsall, Deborah M; Holtsford, Timothy P; Missouri, Columbia; ","Zinc iodide and centrifugation allow rapid, inexpensive phytolith separation",MAIZE DOMESTICATION AND MOLECULAR EVOLUTION,,,1,1997,
"Brown, Patrick J; Upadyayula, Narasimham; Mahone, Gregory S; Tian, Feng; Bradbury, Peter J; Myles, Sean; Holland, James B; Flint-Garcia, Sherry; McMullen, Michael D; Buckler, Edward S; ",Distinct genetic architectures for male and female inflorescence traits of maize,PLoS genetics,7,11,e1002383,2011,"Public Library of Science San Francisco, USA"
"Gore, Michael A Wright; Ersoz, Mark H; Bouffard, Elhan S; Szekeres, Pascal; Jarvie, Edward S; Hurwitz, Thomas P; Narechania, Bonnie L; Harkins, Apurva; Grills, Timothy T; Ware, George S; ",Large-scale discovery of gene-enriched SNPs,The Plant Genome,2,2,121,2009,Crop Science Society of America
"Yu, Jianming Zhang; Zhu, Zhiwu; Tabanao, Chengsong; Pressoir, Dindo A; Tuinstra, Gael; Kresovich, Mitchell R; Todhunter, Stephen; Buckler, Rory J; Edward, S; ",Simulation appraisal of the adequacy of number of background markers for relationship estimation in association mapping,The Plant Genome,2,1,63,2009,Crop Science Society of America
"Zhu, Chengsong; Gore, Michael; Buckler, Edward; Yu, Jianming; ",Status and prospects of association mapping in plants,The Plant Genome,1,1,5,2008,Crop Science Society of America
"Costich, Denise E; Friebe, Bernd; Sheehan, Moira J; Casler, Michael D; Buckler, Edward S; ",Genome‐size variation in switchgrass (Panicum virgatum): Flow cytometry and cytology reveal rampant aneuploidy,The Plant Genome,3,3,,2010,Crop Science Society of America
"Cook, Jason P; McMullen, Michael D; Holland, James B; Tian, Feng; Bradbury, Peter; Ross-Ibarra, Jeffrey; Buckler, Edward S; Flint-Garcia, Sherry A; ",Genetic architecture of maize kernel composition in the nested association mapping and inbred association panels,Plant physiology,158,2,824-834,2012,American Society of Plant Biologists
"Ganal, Martin W; Durstewitz, Gregor; Polley, Andreas; Bérard, Aurélie; Buckler, Edward S; Charcosset, Alain; Clarke, Joseph D; Graner, Eva-Maria; Hansen, Mark; Joets, Johann; ","A large maize (Zea mays L.) SNP genotyping array: development and germplasm genotyping, and genetic mapping to compare with the B73 reference genome",PloS one,6,12,e28334,2011,"Public Library of Science San Francisco, USA"
"Morrell, Peter L; Buckler, Edward S; Ross-Ibarra, Jeffrey; ",Crop genomics: advances and applications,Nature Reviews Genetics,13,2,85-96,2012,Nature Publishing Group UK London
"Zhang, Z; Mateescu, RG; Lust, G; Phavaphutanon, J; Tsai, K; Murphy, K; Todhunter, RJ; Buckler, ES; ",Association mapping accounting for background QTLs: relationship based on pedigree vs. molecular markers.,,,,,2006,
"Chia, Jer-Ming; Song, Chi; Bradbury, Peter J; Costich, Denise; De Leon, Natalia; Doebley, John; Elshire, Robert J; Gaut, Brandon; Geller, Laura; Glaubitz, Jeffrey C; ",Maize HapMap2 identifies extant variation from a genome in flux,Nature genetics,44,7,803-807,2012,Nature Publishing Group US New York
"Hufford, Matthew B; Xu, Xun; Van Heerwaarden, Joost; Pyhäjärvi, Tanja; Chia, Jer-Ming; Cartwright, Reed A; Elshire, Robert J; Glaubitz, Jeffrey C; Guill, Kate E; Kaeppler, Shawn M; ",Comparative population genomics of maize domestication and improvement,Nature genetics,44,7,808-811,2012,Nature Publishing Group US New York
"Li, Xianran; Zhu, Chengsong; Yeh, Cheng-Ting; Wu, Wei; Takacs, Elizabeth M; Petsch, Katherine A; Tian, Feng; Bai, Guihua; Buckler, Edward S; Muehlbauer, Gary J; ",Genic and nongenic contributions to natural variation of quantitative traits in maize,Genome research,22,12,2436-2444,2012,Cold Spring Harbor Lab
"Hung, Hsiao-Yi; Shannon, Laura M; Tian, Feng; Bradbury, Peter J; Chen, Charles; Flint-Garcia, Sherry A; McMullen, Michael D; Ware, Doreen; Buckler, Edward S; Doebley, John F; ",ZmCCT and the genetic basis of day-length adaptation underlying the postdomestication spread of maize,Proceedings of the National Academy of Sciences,109,28,E1913-E1921,2012,National Academy of Sciences
"Lipka, Alexander E; Tian, Feng; Wang, Qishan; Peiffer, Jason; Li, Meng; Bradbury, Peter J; Gore, Michael A; Buckler, Edward S; Zhang, Zhiwu; ",GAPIT: genome association and prediction integrated tool,Bioinformatics,28,18,2397-2399,2012,Oxford University Press
